Position X	Position Y	Position Z	
42.0	23.0	65.0	
51.0	25.0	65.0	
51.0	26.0	65.0	
43.0	27.0	65.0	
50.0	28.0	65.0	
49.0	35.0	65.0	
51.0	40.0	65.0	
59.0	58.0	65.0	
62.0	66.0	65.0	
64.0	74.0	65.0	
65.0	79.0	65.0	
66.0	81.0	65.0	
68.0	83.0	65.0	
69.0	92.0	65.0	
70.0	95.0	65.0	
50.0	18.0	66.0	
51.0	23.0	66.0	
43.0	26.0	66.0	
47.0	27.0	66.0	
47.0	30.0	66.0	
44.0	32.0	66.0	
44.0	33.0	66.0	
48.0	33.0	66.0	
50.0	35.0	66.0	
49.0	37.0	66.0	
53.0	37.0	66.0	
49.0	41.0	66.0	
57.0	50.0	66.0	
54.0	51.0	66.0	
59.0	52.0	66.0	
58.0	53.0	66.0	
59.0	59.0	66.0	
64.0	64.0	66.0	
66.0	79.0	66.0	
63.0	80.0	66.0	
68.0	82.0	66.0	
69.0	87.0	66.0	
66.0	88.0	66.0	
70.0	92.0	66.0	
67.0	93.0	66.0	
43.0	14.0	67.0	
50.0	15.0	67.0	
43.0	17.0	67.0	
37.0	20.0	67.0	
57.0	44.0	67.0	
66.0	66.0	67.0	
47.0	9.0	68.0	
48.0	9.0	68.0	
49.0	9.0	68.0	
50.0	9.0	68.0	
46.0	10.0	68.0	
47.0	10.0	68.0	
48.0	10.0	68.0	
49.0	10.0	68.0	
50.0	10.0	68.0	
51.0	10.0	68.0	
52.0	10.0	68.0	
52.0	11.0	68.0	
48.0	12.0	68.0	
49.0	12.0	68.0	
52.0	12.0	68.0	
53.0	12.0	68.0	
45.0	13.0	68.0	
52.0	13.0	68.0	
53.0	13.0	68.0	
49.0	14.0	68.0	
54.0	24.0	68.0	
39.0	26.0	68.0	
57.0	41.0	68.0	
50.0	44.0	68.0	
59.0	47.0	68.0	
53.0	50.0	68.0	
55.0	54.0	68.0	
64.0	62.0	68.0	
57.0	63.0	68.0	
60.0	70.0	68.0	
67.0	71.0	68.0	
61.0	74.0	68.0	
62.0	79.0	68.0	
71.0	81.0	68.0	
68.0	98.0	68.0	
38.0	13.0	69.0	
43.0	13.0	69.0	
36.0	14.0	69.0	
37.0	14.0	69.0	
38.0	14.0	69.0	
30.0	15.0	69.0	
31.0	15.0	69.0	
32.0	15.0	69.0	
33.0	15.0	69.0	
34.0	15.0	69.0	
35.0	15.0	69.0	
36.0	15.0	69.0	
29.0	16.0	69.0	
30.0	16.0	69.0	
31.0	16.0	69.0	
32.0	16.0	69.0	
33.0	16.0	69.0	
34.0	16.0	69.0	
35.0	16.0	69.0	
36.0	16.0	69.0	
54.0	16.0	69.0	
54.0	17.0	69.0	
55.0	17.0	69.0	
31.0	18.0	69.0	
32.0	18.0	69.0	
53.0	18.0	69.0	
54.0	18.0	69.0	
55.0	18.0	69.0	
30.0	19.0	69.0	
31.0	19.0	69.0	
33.0	19.0	69.0	
34.0	19.0	69.0	
35.0	19.0	69.0	
55.0	19.0	69.0	
29.0	20.0	69.0	
30.0	20.0	69.0	
29.0	21.0	69.0	
33.0	21.0	69.0	
34.0	21.0	69.0	
35.0	21.0	69.0	
29.0	22.0	69.0	
32.0	22.0	69.0	
33.0	22.0	69.0	
28.0	23.0	69.0	
29.0	23.0	69.0	
31.0	23.0	69.0	
32.0	23.0	69.0	
29.0	24.0	69.0	
31.0	24.0	69.0	
35.0	24.0	69.0	
36.0	24.0	69.0	
37.0	24.0	69.0	
31.0	25.0	69.0	
34.0	25.0	69.0	
35.0	25.0	69.0	
31.0	26.0	69.0	
33.0	26.0	69.0	
34.0	26.0	69.0	
33.0	27.0	69.0	
33.0	28.0	69.0	
36.0	28.0	69.0	
49.0	28.0	69.0	
35.0	29.0	69.0	
36.0	29.0	69.0	
35.0	30.0	69.0	
37.0	32.0	69.0	
38.0	32.0	69.0	
39.0	32.0	69.0	
54.0	32.0	69.0	
39.0	33.0	69.0	
41.0	33.0	69.0	
63.0	58.0	69.0	
64.0	59.0	69.0	
69.0	77.0	69.0	
64.0	87.0	69.0	
74.0	95.0	69.0	
44.0	15.0	70.0	
56.0	22.0	70.0	
39.0	23.0	70.0	
57.0	27.0	70.0	
58.0	27.0	70.0	
57.0	28.0	70.0	
58.0	28.0	70.0	
57.0	29.0	70.0	
58.0	29.0	70.0	
59.0	29.0	70.0	
57.0	30.0	70.0	
59.0	30.0	70.0	
56.0	31.0	70.0	
59.0	31.0	70.0	
56.0	32.0	70.0	
58.0	32.0	70.0	
59.0	32.0	70.0	
58.0	33.0	70.0	
55.0	34.0	70.0	
58.0	34.0	70.0	
54.0	35.0	70.0	
55.0	35.0	70.0	
56.0	35.0	70.0	
59.0	45.0	70.0	
59.0	47.0	70.0	
62.0	51.0	70.0	
53.0	52.0	70.0	
57.0	63.0	70.0	
65.0	63.0	70.0	
67.0	71.0	70.0	
67.0	97.0	70.0	
70.0	98.0	70.0	
39.0	13.0	71.0	
44.0	13.0	71.0	
45.0	13.0	71.0	
37.0	14.0	71.0	
38.0	14.0	71.0	
39.0	14.0	71.0	
45.0	14.0	71.0	
47.0	14.0	71.0	
36.0	16.0	71.0	
37.0	16.0	71.0	
36.0	20.0	71.0	
52.0	22.0	71.0	
36.0	26.0	71.0	
37.0	26.0	71.0	
37.0	27.0	71.0	
37.0	28.0	71.0	
39.0	29.0	71.0	
50.0	30.0	70.0	
57.0	42.0	71.0	
51.0	46.0	71.0	
59.0	46.0	71.0	
67.0	70.0	71.0	
69.0	79.0	71.0	
71.0	82.0	71.0	
48.0	24.0	71.0	
38.0	26.0	71.0	
42.0	27.0	71.0	
44.0	33.0	72.0	
62.0	58.0	72.0	
60.0	67.0	72.0	
66.0	70.0	72.0	
67.0	74.0	72.0	
68.0	79.0	72.0	
64.0	82.0	72.0	
66.0	88.0	72.0	
43.0	21.0	73.0	
49.0	24.0	73.0	
49.0	25.0	73.0	
49.0	26.0	73.0	
41.0	28.0	73.0	
42.0	28.0	73.0	
41.0	29.0	73.0	
47.0	30.0	72.0	
47.0	29.0	73.0	
46.0	32.0	73.0	
50.0	35.0	72.0	
50.0	38.0	72.0	
51.0	40.0	73.0	
53.0	45.0	72.0	
57.0	52.0	72.0	
59.0	53.0	73.0	
60.0	63.0	73.0	
63.0	70.0	73.0	
64.0	74.0	73.0	
66.0	79.0	72.0	
67.0	81.0	72.0	
69.0	95.0	72.0	
70.0	95.0	73.0	
51.0	25.0	65.0	
51.0	25.0	65.0	
50.0	26.0	65.0	
49.0	27.0	65.0	
50.0	27.0	65.0	
47.0	29.0	66.0	
47.0	9.0	68.0	
48.0	9.0	68.0	
49.0	9.0	68.0	
50.0	9.0	68.0	
51.0	10.0	68.0	
47.0	11.0	68.0	
48.0	11.0	68.0	
48.0	11.0	68.0	
49.0	11.0	68.0	
51.0	11.0	68.0	
51.0	12.0	68.0	
53.0	12.0	68.0	
53.0	13.0	68.0	
38.0	13.0	69.0	
30.0	15.0	69.0	
31.0	15.0	69.0	
32.0	15.0	69.0	
33.0	15.0	69.0	
34.0	15.0	69.0	
36.0	15.0	69.0	
36.0	16.0	69.0	
36.0	16.0	69.0	
53.0	16.0	69.0	
54.0	16.0	69.0	
54.0	16.0	69.0	
30.0	17.0	69.0	
31.0	17.0	69.0	
31.0	17.0	69.0	
32.0	17.0	69.0	
53.0	17.0	69.0	
55.0	17.0	69.0	
29.0	18.0	69.0	
30.0	18.0	69.0	
30.0	18.0	69.0	
33.0	18.0	69.0	
33.0	18.0	69.0	
34.0	18.0	69.0	
34.0	18.0	69.0	
35.0	18.0	69.0	
53.0	18.0	69.0	
55.0	18.0	69.0	
55.0	18.0	69.0	
28.0	19.0	69.0	
29.0	19.0	69.0	
29.0	19.0	69.0	
28.0	20.0	69.0	
32.0	20.0	69.0	
33.0	20.0	69.0	
33.0	20.0	69.0	
34.0	20.0	69.0	
34.0	20.0	69.0	
35.0	20.0	69.0	
28.0	21.0	69.0	
31.0	21.0	69.0	
32.0	21.0	69.0	
32.0	21.0	69.0	
36.0	21.0	69.0	
28.0	22.0	69.0	
28.0	22.0	69.0	
30.0	22.0	69.0	
31.0	22.0	69.0	
31.0	22.0	69.0	
30.0	23.0	69.0	
34.0	23.0	69.0	
35.0	23.0	69.0	
35.0	23.0	69.0	
36.0	23.0	69.0	
36.0	23.0	69.0	
37.0	23.0	69.0	
30.0	24.0	69.0	
33.0	24.0	69.0	
34.0	24.0	69.0	
34.0	24.0	69.0	
30.0	25.0	69.0	
32.0	25.0	69.0	
33.0	25.0	69.0	
33.0	25.0	69.0	
32.0	26.0	69.0	
32.0	27.0	69.0	
35.0	27.0	69.0	
36.0	27.0	69.0	
34.0	28.0	69.0	
35.0	28.0	69.0	
35.0	28.0	69.0	
34.0	29.0	69.0	
37.0	30.0	69.0	
36.0	31.0	69.0	
37.0	31.0	69.0	
37.0	31.0	69.0	
38.0	31.0	69.0	
38.0	31.0	69.0	
39.0	31.0	69.0	
40.0	32.0	69.0	
41.0	32.0	69.0	
41.0	32.0	69.0	
40.0	33.0	69.0	
56.0	22.0	70.0	
56.0	26.0	70.0	
56.0	27.0	70.0	
56.0	27.0	70.0	
56.0	28.0	70.0	
58.0	28.0	70.0	
58.0	28.0	70.0	
56.0	29.0	70.0	
58.0	29.0	70.0	
58.0	29.0	70.0	
56.0	30.0	70.0	
56.0	30.0	70.0	
58.0	30.0	70.0	
55.0	31.0	70.0	
55.0	31.0	70.0	
57.0	31.0	70.0	
58.0	31.0	70.0	
58.0	31.0	70.0	
57.0	32.0	70.0	
54.0	33.0	70.0	
55.0	33.0	70.0	
57.0	33.0	70.0	
54.0	34.0	70.0	
56.0	34.0	70.0	
54.0	35.0	70.0	
56.0	35.0	70.0	
39.0	13.0	71.0	
40.0	13.0	71.0	
43.0	13.0	71.0	
43.0	13.0	71.0	
44.0	13.0	71.0	
39.0	14.0	71.0	
44.0	14.0	71.0	
44.0	14.0	71.0	
37.0	15.0	71.0	
37.0	15.0	71.0	
37.0	16.0	71.0	
37.0	16.0	71.0	
36.0	25.0	71.0	
36.0	25.0	71.0	
37.0	26.0	71.0	
37.0	26.0	71.0	
38.0	28.0	71.0	
47.0	15.0	72.0	
48.0	23.0	73.0	
48.0	24.0	73.0	
48.0	24.0	73.0	
48.0	25.0	73.0	
40.0	27.0	73.0	
40.0	27.0	73.0	
41.0	27.0	73.0	
41.0	27.0	73.0	
42.0	27.0	73.0	
42.0	29.0	73.0	
42.0	29.0	73.0	
48.0	29.0	73.0	
48.0	29.0	73.0	
43.0	30.0	73.0	
48.0	29.0	65.0	
53.0	13.0	68.0	
53.0	13.0	68.0	
45.0	11.0	68.0	
48.0	23.0	73.0	
43.0	13.0	69.0	
40.0	14.0	70.0	
36.0	20.0	71.0	
38.0	21.0	70.0	
36.0	21.0	69.0	
56.0	63.0	69.0	
70.0	99.0	69.0	
70.0	98.0	68.0	
41.0	32.0	69.0	
39.0	31.0	69.0	
42.0	33.0	69.0	
43.0	33.0	67.0	
43.0	33.0	67.0	
69.0	87.0	66.0	
52.0	41.0	73.0	
54.0	42.0	72.0	
70.0	95.0	73.0	
42.0	31.0	71.0	
59.0	70.0	69.0	
60.0	74.0	69.0	
54.0	43.0	65.0	
53.0	39.0	66.0	
43.0	28.0	65.0	
72.0	83.0	69.0	
60.0	47.0	69.0	
54.0	42.0	72.0	
64.0	59.0	69.0	
53.0	45.0	72.0	
55.0	45.0	72.0	
59.0	52.0	66.0	
48.0	39.0	71.0	
37.0	16.0	71.0	
48.0	24.0	71.0	
65.0	74.0	66.0	
66.0	79.0	66.0	
59.0	59.0	66.0	
59.0	58.0	65.0	
50.0	44.0	68.0	
53.0	42.0	65.0	
52.0	41.0	65.0	
39.0	23.0	70.0	
37.0	24.0	71.0	
62.0	70.0	72.0	
53.0	18.0	69.0	
53.0	18.0	69.0	
56.0	30.0	70.0	
47.0	34.0	72.0	
36.0	20.0	72.0	
51.0	40.0	73.0	
53.0	45.0	72.0	
53.0	45.0	72.0	
53.0	45.0	72.0	
51.0	25.0	65.0	
51.0	23.0	66.0	
37.0	16.0	71.0	
41.0	28.0	68.0	
54.0	45.0	65.0	
50.0	35.0	72.0	
46.0	32.0	65.0	
43.0	13.0	69.0	
60.0	67.0	72.0	
59.0	69.0	69.0	
38.0	15.0	68.0	
38.0	13.0	69.0	
38.0	16.0	70.0	
38.0	16.0	70.0	
36.0	21.0	69.0	
57.0	50.0	72.0	
56.0	46.0	72.0	
57.0	52.0	72.0	
53.0	18.0	69.0	
50.0	30.0	70.0	
60.0	68.0	67.0	
41.0	28.0	68.0	
43.0	17.0	67.0	
49.0	17.0	67.0	
62.0	51.0	70.0	
65.0	79.0	65.0	
63.0	66.0	66.0	
60.0	68.0	67.0	
67.0	70.0	71.0	
69.0	79.0	71.0	
69.0	79.0	71.0	
66.0	79.0	66.0	
66.0	81.0	65.0	
69.0	79.0	71.0	
39.0	29.0	71.0	
42.0	31.0	71.0	
52.0	18.0	69.0	
52.0	18.0	69.0	
67.0	82.0	73.0	
49.0	37.0	66.0	
50.0	35.0	66.0	
57.0	41.0	68.0	
43.0	27.0	65.0	
40.0	27.0	67.0	
50.0	30.0	70.0	
43.0	26.0	66.0	
42.0	23.0	65.0	
53.0	39.0	66.0	
65.0	81.0	72.0	
61.0	52.0	72.0	
62.0	51.0	70.0	
54.0	32.0	69.0	
46.0	14.0	70.0	
62.0	58.0	72.0	
67.0	82.0	65.0	
39.0	23.0	70.0	
42.0	31.0	71.0	
