Position X	Position Y	Position Z	
59.0	40.0	65.0	
58.0	46.0	65.0	
57.0	48.0	65.0	
55.0	53.0	65.0	
54.0	54.0	65.0	
54.0	57.0	65.0	
53.0	58.0	65.0	
51.0	61.0	65.0	
50.0	65.0	65.0	
47.0	69.0	65.0	
46.0	70.0	65.0	
45.0	71.0	65.0	
45.0	75.0	65.0	
56.0	76.0	65.0	
58.0	77.0	65.0	
60.0	79.0	65.0	
63.0	79.0	65.0	
71.0	82.0	65.0	
76.0	88.0	65.0	
60.0	26.0	66.0	
56.0	40.0	66.0	
58.0	40.0	66.0	
57.0	46.0	66.0	
56.0	48.0	66.0	
57.0	49.0	66.0	
51.0	56.0	66.0	
50.0	57.0	66.0	
54.0	58.0	66.0	
56.0	58.0	66.0	
50.0	64.0	66.0	
50.0	67.0	66.0	
52.0	67.0	66.0	
46.0	69.0	66.0	
43.0	70.0	66.0	
46.0	71.0	66.0	
58.0	74.0	66.0	
44.0	75.0	66.0	
55.0	76.0	66.0	
58.0	76.0	66.0	
55.0	78.0	66.0	
60.0	78.0	66.0	
59.0	81.0	66.0	
70.0	82.0	66.0	
71.0	83.0	66.0	
73.0	83.0	66.0	
71.0	85.0	66.0	
73.0	85.0	66.0	
75.0	85.0	66.0	
76.0	86.0	66.0	
75.0	88.0	66.0	
82.0	90.0	66.0	
56.0	27.0	67.0	
62.0	41.0	67.0	
54.0	46.0	67.0	
53.0	48.0	67.0	
60.0	49.0	67.0	
48.0	60.0	67.0	
49.0	71.0	67.0	
41.0	73.0	67.0	
41.0	75.0	67.0	
64.0	76.0	67.0	
44.0	78.0	67.0	
71.0	78.0	67.0	
66.0	84.0	67.0	
49.0	56.0	68.0	
48.0	61.0	68.0	
47.0	64.0	68.0	
54.0	66.0	68.0	
42.0	69.0	68.0	
51.0	70.0	68.0	
51.0	72.0	68.0	
57.0	72.0	68.0	
58.0	82.0	68.0	
67.0	84.0	68.0	
82.0	86.0	68.0	
73.0	90.0	68.0	
80.0	92.0	68.0	
59.0	24.0	69.0	
58.0	25.0	69.0	
60.0	25.0	69.0	
55.0	40.0	69.0	
63.0	40.0	69.0	
58.0	56.0	69.0	
47.0	61.0	69.0	
52.0	71.0	69.0	
40.0	74.0	69.0	
63.0	75.0	69.0	
45.0	79.0	69.0	
53.0	79.0	69.0	
60.0	83.0	69.0	
67.0	85.0	69.0	
84.0	89.0	69.0	
77.0	93.0	69.0	
57.0	25.0	70.0	
62.0	26.0	70.0	
53.0	47.0	70.0	
48.0	61.0	70.0	
48.0	62.0	70.0	
51.0	70.0	70.0	
51.0	72.0	70.0	
41.0	74.0	70.0	
61.0	75.0	70.0	
41.0	76.0	70.0	
72.0	78.0	70.0	
67.0	84.0	70.0	
69.0	85.0	70.0	
80.0	92.0	70.0	
62.0	41.0	71.0	
61.0	47.0	71.0	
52.0	50.0	71.0	
58.0	52.0	71.0	
51.0	53.0	71.0	
49.0	57.0	71.0	
57.0	58.0	71.0	
48.0	60.0	71.0	
54.0	65.0	71.0	
42.0	70.0	71.0	
49.0	71.0	71.0	
41.0	73.0	71.0	
71.0	78.0	71.0	
55.0	79.0	71.0	
81.0	92.0	71.0	
57.0	27.0	72.0	
61.0	27.0	72.0	
54.0	48.0	72.0	
53.0	52.0	72.0	
48.0	72.0	71.0	
56.0	73.0	72.0	
44.0	77.0	72.0	
59.0	81.0	72.0	
66.0	83.0	72.0	
82.0	88.0	72.0	
74.0	89.0	72.0	
59.0	40.0	73.0	
58.0	46.0	73.0	
57.0	47.0	73.0	
56.0	48.0	72.0	
57.0	49.0	72.0	
55.0	50.0	72.0	
54.0	53.0	72.0	
55.0	54.0	72.0	
54.0	57.0	73.0	
51.0	61.0	73.0	
52.0	61.0	72.0	
50.0	64.0	72.0	
51.0	64.0	73.0	
51.0	65.0	72.0	
49.0	66.0	72.0	
50.0	66.0	73.0	
50.0	67.0	72.0	
49.0	68.0	72.0	
48.0	69.0	72.0	
45.0	70.0	72.0	
46.0	70.0	73.0	
47.0	70.0	72.0	
45.0	71.0	73.0	
45.0	73.0	73.0	
47.0	73.0	72.0	
44.0	75.0	72.0	
56.0	75.0	72.0	
55.0	76.0	72.0	
57.0	76.0	73.0	
58.0	76.0	72.0	
57.0	77.0	72.0	
58.0	77.0	73.0	
59.0	77.0	72.0	
60.0	78.0	72.0	
59.0	79.0	72.0	
64.0	79.0	72.0	
64.0	80.0	73.0	
67.0	80.0	72.0	
70.0	80.0	72.0	
67.0	81.0	73.0	
70.0	81.0	73.0	
70.0	82.0	72.0	
71.0	82.0	73.0	
72.0	82.0	72.0	
72.0	83.0	73.0	
73.0	83.0	72.0	
72.0	84.0	72.0	
73.0	84.0	73.0	
