Position X	Position Y	Position Z	
36.0	26.0	65.0	
38.0	26.0	65.0	
39.0	27.0	65.0	
40.0	28.0	65.0	
41.0	29.0	65.0	
42.0	30.0	65.0	
43.0	32.0	65.0	
45.0	34.0	65.0	
47.0	37.0	65.0	
49.0	38.0	65.0	
50.0	39.0	65.0	
51.0	41.0	65.0	
52.0	44.0	65.0	
54.0	47.0	65.0	
55.0	48.0	65.0	
57.0	62.0	65.0	
70.0	62.0	65.0	
71.0	64.0	65.0	
73.0	72.0	65.0	
74.0	73.0	65.0	
76.0	77.0	65.0	
77.0	78.0	65.0	
77.0	80.0	65.0	
79.0	84.0	65.0	
81.0	86.0	65.0	
82.0	87.0	65.0	
84.0	90.0	65.0	
33.0	23.0	66.0	
32.0	26.0	66.0	
35.0	26.0	66.0	
39.0	26.0	66.0	
38.0	27.0	66.0	
40.0	27.0	66.0	
42.0	29.0	66.0	
43.0	30.0	66.0	
42.0	32.0	66.0	
44.0	32.0	66.0	
41.0	33.0	66.0	
44.0	34.0	66.0	
46.0	34.0	66.0	
45.0	36.0	66.0	
50.0	38.0	66.0	
46.0	39.0	66.0	
51.0	39.0	66.0	
50.0	41.0	66.0	
49.0	42.0	66.0	
53.0	44.0	66.0	
55.0	44.0	66.0	
51.0	47.0	66.0	
55.0	47.0	66.0	
56.0	49.0	66.0	
58.0	59.0	66.0	
71.0	60.0	66.0	
58.0	61.0	66.0	
70.0	63.0	66.0	
72.0	64.0	66.0	
73.0	70.0	66.0	
75.0	70.0	66.0	
72.0	72.0	66.0	
74.0	72.0	66.0	
77.0	73.0	66.0	
74.0	74.0	66.0	
74.0	76.0	66.0	
76.0	76.0	66.0	
77.0	77.0	66.0	
76.0	78.0	66.0	
80.0	82.0	66.0	
79.0	86.0	66.0	
78.0	87.0	66.0	
83.0	87.0	66.0	
82.0	89.0	66.0	
81.0	90.0	66.0	
85.0	90.0	66.0	
88.0	93.0	66.0	
59.0	49.0	67.0	
68.0	65.0	67.0	
78.0	75.0	67.0	
81.0	80.0	67.0	
75.0	84.0	67.0	
34.0	22.0	68.0	
31.0	23.0	68.0	
34.0	29.0	68.0	
37.0	30.0	68.0	
54.0	38.0	68.0	
50.0	48.0	68.0	
60.0	59.0	68.0	
74.0	61.0	68.0	
55.0	65.0	68.0	
75.0	65.0	68.0	
