Position X	Position Y	Position Z	
47.0	45.0	65.0	
47.0	50.0	65.0	
48.0	51.0	65.0	
51.0	55.0	65.0	
52.0	58.0	65.0	
55.0	63.0	65.0	
57.0	69.0	65.0	
59.0	71.0	65.0	
62.0	77.0	65.0	
48.0	50.0	66.0	
49.0	52.0	66.0	
48.0	54.0	66.0	
51.0	54.0	66.0	
53.0	54.0	66.0	
47.0	55.0	66.0	
51.0	58.0	66.0	
53.0	59.0	66.0	
50.0	60.0	66.0	
52.0	61.0	66.0	
56.0	63.0	66.0	
55.0	65.0	66.0	
59.0	65.0	66.0	
58.0	69.0	66.0	
60.0	71.0	66.0	
62.0	71.0	66.0	
64.0	78.0	66.0	
46.0	42.0	67.0	
50.0	44.0	67.0	
44.0	51.0	67.0	
59.0	78.0	67.0	
44.0	43.0	68.0	
54.0	53.0	68.0	
60.0	66.0	68.0	
54.0	69.0	68.0	
54.0	71.0	68.0	
65.0	76.0	68.0	
60.0	80.0	68.0	
51.0	48.0	69.0	
55.0	55.0	69.0	
61.0	66.0	69.0	
50.0	48.0	70.0	
60.0	66.0	70.0	
65.0	76.0	70.0	
59.0	79.0	70.0	
64.0	80.0	70.0	
62.0	80.0	70.0	
48.0	42.0	71.0	
44.0	44.0	71.0	
50.0	44.0	71.0	
51.0	50.0	71.0	
45.0	53.0	71.0	
49.0	60.0	71.0	
53.0	66.0	71.0	
65.0	78.0	71.0	
50.0	50.0	72.0	
45.0	51.0	72.0	
53.0	54.0	72.0	
49.0	58.0	72.0	
51.0	62.0	72.0	
58.0	63.0	72.0	
62.0	72.0	72.0	
48.0	50.0	72.0	
48.0	53.0	72.0	
49.0	54.0	73.0	
50.0	55.0	72.0	
51.0	57.0	73.0	
53.0	58.0	72.0	
52.0	60.0	72.0	
55.0	62.0	72.0	
54.0	63.0	72.0	
55.0	63.0	73.0	
56.0	64.0	73.0	
57.0	66.0	73.0	
57.0	69.0	73.0	
60.0	72.0	73.0	
62.0	75.0	72.0	
61.0	77.0	72.0	
62.0	77.0	73.0	
63.0	77.0	72.0	
61.0	76.0	72.0	
53.0	69.0	69.0	
53.0	69.0	69.0	
62.0	81.0	69.0	
62.0	81.0	69.0	
62.0	80.0	68.0	
61.0	77.0	72.0	
62.0	77.0	73.0	
47.0	41.0	69.0	
47.0	41.0	69.0	
46.0	42.0	69.0	
51.0	50.0	71.0	
51.0	50.0	71.0	
50.0	50.0	72.0	
66.0	76.0	69.0	
61.0	66.0	69.0	
53.0	66.0	71.0	
56.0	66.0	72.0	
51.0	55.0	73.0	
53.0	59.0	72.0	
53.0	59.0	72.0	
55.0	62.0	72.0	
52.0	60.0	72.0	
48.0	51.0	65.0	
62.0	75.0	72.0	
59.0	72.0	72.0	
59.0	72.0	72.0	
56.0	66.0	72.0	
48.0	54.0	66.0	
49.0	52.0	66.0	
55.0	63.0	65.0	
54.0	61.0	66.0	
53.0	61.0	65.0	
52.0	61.0	66.0	
52.0	61.0	66.0	
59.0	72.0	72.0	
59.0	72.0	72.0	
62.0	72.0	72.0	
60.0	72.0	73.0	
55.0	65.0	66.0	
56.0	60.0	71.0	
52.0	58.0	65.0	
50.0	55.0	72.0	
48.0	59.0	68.0	
50.0	60.0	66.0	
51.0	55.0	65.0	
50.0	55.0	66.0	
47.0	44.0	66.0	
57.0	69.0	73.0	
48.0	50.0	66.0	
51.0	50.0	71.0	
51.0	50.0	71.0	
54.0	69.0	68.0	
53.0	66.0	71.0	
54.0	63.0	72.0	
56.0	64.0	73.0	
56.0	66.0	72.0	
58.0	63.0	72.0	
52.0	57.0	72.0	
52.0	57.0	72.0	
52.0	58.0	73.0	
52.0	60.0	72.0	
51.0	57.0	73.0	
48.0	50.0	72.0	
48.0	50.0	72.0	
48.0	51.0	73.0	
48.0	52.0	73.0	
47.0	50.0	73.0	
47.0	50.0	73.0	
48.0	50.0	66.0	
48.0	50.0	66.0	
47.0	50.0	65.0	
44.0	51.0	67.0	
48.0	54.0	66.0	
50.0	48.0	70.0	
51.0	50.0	71.0	
50.0	44.0	71.0	
53.0	59.0	66.0	
55.0	59.0	72.0	
51.0	55.0	73.0	
53.0	54.0	72.0	
56.0	63.0	66.0	
61.0	77.0	72.0	
59.0	78.0	67.0	
51.0	62.0	72.0	
62.0	77.0	65.0	
46.0	42.0	67.0	
60.0	72.0	73.0	
61.0	75.0	73.0	
60.0	80.0	68.0	
48.0	53.0	72.0	
51.0	54.0	72.0	
49.0	54.0	73.0	
57.0	66.0	73.0	
52.0	57.0	66.0	
62.0	77.0	65.0	
62.0	71.0	66.0	
60.0	66.0	68.0	
48.0	52.0	73.0	
62.0	77.0	65.0	
49.0	58.0	72.0	
49.0	60.0	71.0	
50.0	63.0	68.0	
59.0	79.0	70.0	
61.0	77.0	72.0	
50.0	44.0	71.0	
50.0	44.0	71.0	
46.0	42.0	69.0	
50.0	63.0	68.0	
50.0	63.0	68.0	
50.0	63.0	68.0	
54.0	69.0	68.0	
51.0	58.0	66.0	
50.0	60.0	66.0	
50.0	60.0	66.0	
51.0	54.0	66.0	
51.0	58.0	66.0	
51.0	58.0	66.0	
50.0	44.0	71.0	
52.0	60.0	72.0	
55.0	55.0	69.0	
59.0	72.0	72.0	
46.0	42.0	69.0	
48.0	42.0	71.0	
51.0	54.0	66.0	
65.0	78.0	71.0	
54.0	71.0	68.0	
54.0	71.0	68.0	
54.0	71.0	68.0	
54.0	69.0	70.0	
56.0	66.0	72.0	
58.0	69.0	66.0	
50.0	44.0	71.0	
48.0	42.0	69.0	
61.0	66.0	69.0	
62.0	72.0	72.0	
47.0	50.0	65.0	
48.0	50.0	66.0	
49.0	58.0	72.0	
46.0	42.0	67.0	
55.0	65.0	66.0	
57.0	69.0	65.0	
57.0	69.0	65.0	
58.0	69.0	66.0	
59.0	71.0	65.0	
59.0	78.0	67.0	
59.0	78.0	67.0	
60.0	71.0	66.0	
45.0	53.0	71.0	
53.0	54.0	66.0	
54.0	53.0	68.0	
56.0	60.0	71.0	
45.0	53.0	71.0	
52.0	57.0	72.0	
49.0	60.0	71.0	
59.0	78.0	67.0	

