Position X	Position Y	Position Z	
45.0	26.0	62.0	
46.0	31.0	62.0	
47.0	33.0	62.0	
51.0	38.0	62.0	
51.0	40.0	62.0	
53.0	42.0	62.0	
54.0	45.0	62.0	
56.0	47.0	62.0	
57.0	51.0	62.0	
58.0	52.0	62.0	
59.0	53.0	62.0	
59.0	58.0	62.0	
60.0	59.0	62.0	
61.0	64.0	62.0	
62.0	65.0	62.0	
64.0	74.0	62.0	
65.0	75.0	62.0	
65.0	79.0	62.0	
66.0	80.0	62.0	
67.0	82.0	62.0	
68.0	83.0	62.0	
68.0	87.0	62.0	
69.0	88.0	62.0	
69.0	92.0	62.0	
70.0	93.0	62.0	
70.0	95.0	62.0	
46.0	24.0	63.0	
46.0	30.0	63.0	
43.0	31.0	63.0	
49.0	34.0	63.0	
50.0	35.0	63.0	
52.0	35.0	63.0	
49.0	37.0	63.0	
51.0	37.0	63.0	
54.0	42.0	63.0	
52.0	46.0	63.0	
56.0	46.0	63.0	
55.0	47.0	63.0	
57.0	50.0	63.0	
57.0	52.0	63.0	
59.0	52.0	63.0	
58.0	53.0	63.0	
60.0	58.0	63.0	
59.0	59.0	63.0	
58.0	64.0	63.0	
62.0	64.0	63.0	
61.0	66.0	63.0	
65.0	74.0	63.0	
64.0	75.0	63.0	
66.0	79.0	63.0	
64.0	82.0	63.0	
68.0	82.0	63.0	
67.0	83.0	63.0	
69.0	87.0	63.0	
71.0	87.0	63.0	
70.0	92.0	63.0	
67.0	93.0	63.0	
72.0	96.0	63.0	
43.0	23.0	64.0	
53.0	36.0	64.0	
54.0	39.0	64.0	
57.0	43.0	64.0	
62.0	52.0	64.0	
65.0	63.0	64.0	
65.0	65.0	64.0	
66.0	65.0	64.0	
71.0	81.0	64.0	
52.0	52.0	65.0	
64.0	89.0	65.0	
68.0	99.0	65.0	
50.0	24.0	66.0	
64.0	51.0	66.0	
70.0	73.0	66.0	
65.0	97.0	66.0	
42.0	21.0	67.0	
39.0	31.0	67.0	
55.0	33.0	67.0	
41.0	35.0	67.0	
44.0	38.0	67.0	
62.0	46.0	67.0	
54.0	64.0	67.0	
55.0	66.0	67.0	
69.0	66.0	67.0	
59.0	80.0	67.0	
74.0	82.0	67.0	
61.0	84.0	67.0	
62.0	88.0	67.0	
76.0	96.0	67.0	
75.0	98.0	67.0	
73.0	100.0	67.0	
71.0	101.0	67.0	
48.0	21.0	68.0	
39.0	24.0	68.0	
51.0	26.0	68.0	
57.0	38.0	68.0	
60.0	41.0	68.0	
45.0	42.0	68.0	
48.0	47.0	68.0	
62.0	47.0	68.0	
50.0	50.0	68.0	
65.0	53.0	68.0	
66.0	59.0	68.0	
54.0	63.0	68.0	
69.0	67.0	68.0	
57.0	70.0	68.0	
70.0	71.0	68.0	
58.0	74.0	68.0	
71.0	77.0	68.0	
59.0	79.0	68.0	
74.0	83.0	68.0	
62.0	87.0	68.0	
75.0	88.0	68.0	
63.0	90.0	68.0	
63.0	92.0	68.0	
68.0	101.0	68.0	
45.0	19.0	69.0	
52.0	26.0	69.0	
52.0	28.0	69.0	
45.0	41.0	69.0	
63.0	47.0	69.0	
49.0	50.0	69.0	
66.0	53.0	69.0	
66.0	56.0	69.0	
52.0	58.0	69.0	
67.0	59.0	69.0	
53.0	61.0	69.0	
67.0	61.0	69.0	
53.0	63.0	69.0	
70.0	67.0	69.0	
56.0	69.0	69.0	
56.0	70.0	69.0	
71.0	71.0	69.0	
57.0	74.0	69.0	
72.0	75.0	69.0	
58.0	77.0	69.0	
58.0	79.0	69.0	
75.0	83.0	69.0	
61.0	85.0	69.0	
75.0	85.0	69.0	
61.0	87.0	69.0	
62.0	90.0	69.0	
62.0	92.0	69.0	
70.0	102.0	69.0	
43.0	20.0	70.0	
51.0	26.0	70.0	
51.0	28.0	70.0	
39.0	32.0	70.0	
56.0	34.0	70.0	
57.0	38.0	70.0	
58.0	39.0	70.0	
62.0	47.0	70.0	
50.0	50.0	70.0	
65.0	51.0	70.0	
65.0	53.0	70.0	
66.0	59.0	70.0	
54.0	63.0	70.0	
68.0	63.0	70.0	
69.0	67.0	70.0	
57.0	69.0	70.0	
57.0	70.0	70.0	
70.0	71.0	70.0	
59.0	79.0	70.0	
74.0	83.0	70.0	
62.0	85.0	70.0	
74.0	85.0	70.0	
62.0	87.0	70.0	
75.0	88.0	70.0	
63.0	92.0	70.0	
39.0	25.0	71.0	
55.0	33.0	71.0	
41.0	35.0	71.0	
57.0	37.0	71.0	
45.0	41.0	71.0	
50.0	51.0	71.0	
51.0	53.0	71.0	
66.0	58.0	71.0	
54.0	64.0	71.0	
69.0	66.0	71.0	
59.0	80.0	71.0	
63.0	93.0	71.0	
76.0	96.0	71.0	
65.0	98.0	71.0	
73.0	100.0	71.0	
47.0	21.0	72.0	
50.0	24.0	72.0	
40.0	32.0	72.0	
56.0	36.0	72.0	
61.0	45.0	72.0	
64.0	51.0	72.0	
54.0	59.0	72.0	
70.0	73.0	72.0	
73.0	81.0	72.0	
74.0	86.0	72.0	
64.0	93.0	72.0	
68.0	100.0	72.0	
43.0	22.0	73.0	
48.0	24.0	74.0	
48.0	25.0	74.0	
42.0	32.0	74.0	
