Position X	Position Y	Position Z	
34.0	11.0	65.0	
37.0	15.0	65.0	
38.0	16.0	65.0	
40.0	20.0	65.0	
47.0	34.0	65.0	
48.0	38.0	65.0	
49.0	42.0	65.0	
50.0	43.0	65.0	
52.0	47.0	65.0	
53.0	50.0	65.0	
54.0	52.0	65.0	
55.0	54.0	65.0	
56.0	55.0	65.0	
57.0	59.0	65.0	
58.0	61.0	65.0	
60.0	63.0	65.0	
64.0	72.0	65.0	
67.0	78.0	65.0	
71.0	85.0	65.0	
72.0	90.0	65.0	
76.0	98.0	65.0	
77.0	101.0	65.0	
79.0	106.0	65.0	
81.0	111.0	65.0	
82.0	113.0	65.0	
83.0	115.0	65.0	
86.0	124.0	65.0	
91.0	128.0	65.0	
35.0	9.0	66.0	
32.0	12.0	66.0	
38.0	13.0	66.0	
34.0	15.0	66.0	
36.0	15.0	66.0	
39.0	16.0	66.0	
40.0	19.0	66.0	
42.0	26.0	66.0	
46.0	26.0	66.0	
45.0	30.0	66.0	
47.0	30.0	66.0	
47.0	33.0	66.0	
49.0	33.0	66.0	
48.0	35.0	66.0	
49.0	38.0	66.0	
46.0	39.0	66.0	
48.0	39.0	66.0	
50.0	42.0	66.0	
51.0	44.0	66.0	
53.0	44.0	66.0	
50.0	46.0	66.0	
53.0	49.0	66.0	
55.0	49.0	66.0	
54.0	50.0	66.0	
52.0	51.0	66.0	
54.0	51.0	66.0	
56.0	51.0	66.0	
52.0	54.0	66.0	
58.0	54.0	66.0	
55.0	58.0	66.0	
59.0	60.0	66.0	
59.0	63.0	66.0	
65.0	67.0	66.0	
63.0	72.0	66.0	
62.0	73.0	66.0	
69.0	74.0	66.0	
67.0	84.0	66.0	
76.0	91.0	66.0	
72.0	97.0	66.0	
76.0	97.0	66.0	
76.0	101.0	66.0	
75.0	102.0	66.0	
81.0	109.0	66.0	
80.0	111.0	66.0	
81.0	113.0	66.0	
83.0	113.0	66.0	
86.0	114.0	66.0	
89.0	124.0	66.0	
88.0	125.0	66.0	
90.0	125.0	66.0	
89.0	126.0	66.0	
42.0	33.0	67.0	
45.0	37.0	67.0	
46.0	43.0	67.0	
49.0	50.0	67.0	
54.0	58.0	67.0	
70.0	74.0	67.0	
64.0	79.0	67.0	
72.0	80.0	67.0	
69.0	88.0	67.0	
82.0	105.0	67.0	
87.0	114.0	67.0	
95.0	128.0	67.0	
93.0	132.0	67.0	
31.0	9.0	68.0	
39.0	11.0	68.0	
42.0	15.0	68.0	
35.0	18.0	68.0	
39.0	25.0	68.0	
47.0	27.0	68.0	
41.0	30.0	68.0	
50.0	32.0	68.0	
46.0	42.0	68.0	
59.0	53.0	68.0	
51.0	55.0	68.0	
58.0	66.0	68.0	
70.0	75.0	68.0	
64.0	78.0	68.0	
75.0	85.0	68.0	
75.0	87.0	68.0	
76.0	89.0	68.0	
69.0	90.0	68.0	
77.0	92.0	68.0	
71.0	96.0	68.0	
80.0	97.0	68.0	
81.0	102.0	68.0	
75.0	105.0	68.0	
77.0	112.0	68.0	
81.0	121.0	68.0	
81.0	123.0	68.0	
84.0	127.0	68.0	
90.0	132.0	68.0	
34.0	7.0	69.0	
30.0	11.0	69.0	
48.0	27.0	69.0	
52.0	36.0	69.0	
61.0	57.0	69.0	
53.0	59.0	69.0	
66.0	65.0	69.0	
67.0	68.0	69.0	
59.0	70.0	69.0	
71.0	76.0	69.0	
65.0	83.0	69.0	
76.0	87.0	69.0	
78.0	92.0	69.0	
73.0	101.0	69.0	
82.0	102.0	69.0	
75.0	108.0	69.0	
80.0	118.0	69.0	
80.0	121.0	69.0	
96.0	129.0	69.0	
33.0	16.0	70.0	
46.0	22.0	70.0	
47.0	27.0	70.0	
41.0	30.0	70.0	
50.0	32.0	70.0	
46.0	42.0	70.0	
49.0	51.0	70.0	
59.0	53.0	70.0	
70.0	75.0	70.0	
66.0	85.0	70.0	
75.0	87.0	70.0	
69.0	89.0	70.0	
69.0	90.0	70.0	
69.0	92.0	70.0	
77.0	92.0	70.0	
78.0	95.0	70.0	
71.0	96.0	70.0	
71.0	98.0	70.0	
81.0	102.0	70.0	
75.0	105.0	70.0	
87.0	113.0	70.0	
81.0	121.0	70.0	
81.0	123.0	70.0	
94.0	132.0	70.0	
35.0	8.0	71.0	
46.0	25.0	71.0	
40.0	27.0	71.0	
51.0	35.0	71.0	
45.0	39.0	71.0	
46.0	43.0	71.0	
55.0	46.0	71.0	
50.0	52.0	71.0	
57.0	52.0	71.0	
54.0	58.0	71.0	
55.0	62.0	71.0	
72.0	80.0	71.0	
77.0	91.0	71.0	
77.0	111.0	71.0	
80.0	116.0	71.0	
85.0	127.0	71.0	
95.0	130.0	71.0	
91.0	132.0	71.0	
32.0	12.0	72.0	
38.0	12.0	72.0	
42.0	20.0	72.0	
47.0	30.0	72.0	
43.0	33.0	72.0	
45.0	36.0	72.0	
52.0	42.0	72.0	
48.0	45.0	72.0	
58.0	54.0	72.0	
64.0	64.0	72.0	
60.0	68.0	72.0	
62.0	73.0	72.0	
73.0	84.0	72.0	
74.0	86.0	72.0	
69.0	87.0	72.0	
70.0	91.0	72.0	
76.0	91.0	72.0	
75.0	102.0	72.0	
81.0	105.0	72.0	
81.0	116.0	72.0	
82.0	122.0	72.0	
84.0	125.0	72.0	
93.0	126.0	72.0	
89.0	129.0	72.0	
35.0	12.0	73.0	
36.0	12.0	72.0	
37.0	16.0	72.0	
39.0	17.0	73.0	
39.0	19.0	73.0	
40.0	19.0	72.0	
39.0	20.0	72.0	
42.0	22.0	72.0	
43.0	26.0	73.0	
43.0	27.0	72.0	
44.0	27.0	73.0	
44.0	30.0	73.0	
45.0	33.0	72.0	
47.0	33.0	72.0	
48.0	38.0	73.0	
48.0	39.0	72.0	
49.0	39.0	73.0	
49.0	42.0	73.0	
50.0	44.0	73.0	
50.0	45.0	72.0	
51.0	46.0	73.0	
52.0	47.0	73.0	
53.0	49.0	72.0	
52.0	50.0	72.0	
54.0	50.0	72.0	
54.0	51.0	72.0	
54.0	52.0	73.0	
56.0	54.0	72.0	
56.0	57.0	72.0	
57.0	57.0	73.0	
57.0	59.0	73.0	
58.0	59.0	72.0	
57.0	60.0	72.0	
58.0	60.0	73.0	
60.0	62.0	72.0	
59.0	63.0	72.0	
62.0	65.0	73.0	
63.0	68.0	73.0	
63.0	70.0	73.0	
64.0	70.0	72.0	
65.0	71.0	72.0	
67.0	78.0	73.0	
68.0	80.0	73.0	
70.0	85.0	72.0	
72.0	86.0	72.0	
71.0	87.0	72.0	
72.0	90.0	73.0	
73.0	90.0	72.0	
73.0	91.0	73.0	
76.0	97.0	72.0	
75.0	98.0	72.0	
77.0	99.0	73.0	
77.0	101.0	73.0	
79.0	105.0	72.0	
79.0	106.0	73.0	
80.0	111.0	72.0	
82.0	112.0	73.0	
83.0	113.0	72.0	
82.0	114.0	72.0	
83.0	116.0	72.0	
84.0	121.0	73.0	
85.0	121.0	72.0	
88.0	124.0	73.0	
88.0	125.0	72.0	
89.0	125.0	73.0	
91.0	126.0	72.0	
91.0	129.0	72.0	
70.0	96.0	69.0	
80.0	121.0	69.0	
45.0	42.0	69.0	
45.0	42.0	69.0	
40.0	30.0	69.0	
